TEMPERATURE TIME
12.3 1.10
19.8 2.19
17.0 7.41
16.8 10.56
22.1 12.70
14.8 13.75
22.4 14.76
19.3 16.80
24.1 17.87
23.1 19.96
19.5 22.12
14.0 24.21
25.2 25.27
22.3 27.38
19.1 28.46
19.7 30.51
16.7 36.84
32.1 37.84
20.3 38.86
20.0 43.99
15.7 48.23
21.0 49.28
26.3 53.59
11.3 54.62
28.0 55.69
25.4 56.77
16.8 57.78
26.9 58.85
23.5 59.90
25.5 60.94
18.3 63.04
12.3 65.15
29.5 66.23
22.2 67.23
24.7 69.28
28.0 72.50
22.2 73.60
20.8 75.70
26.5 77.77
14.6 78.83
18.8 81.95
13.1 83.05
16.3 84.07
18.0 87.24
13.8 88.33
19.0 89.37
28.6 93.58
13.8 94.66
17.8 95.69
26.3 97.79
21.3 101.00
24.1 102.01
26.4 103.01
22.8 105.10
11.7 107.22
19.1 108.28
18.5 109.35
16.5 112.41
22.6 113.51
16.4 114.51
13.4 116.58
15.6 118.70
20.6 120.75
18.1 123.85
19.7 125.97
18.7 127.00
20.3 128.05
19.6 130.20
17.3 131.22
18.3 132.26
27.1 135.37
20.0 140.61
21.9 141.70
25.7 142.73
18.5 143.76
25.5 148.03
21.9 150.10
17.2 152.16
16.0 154.34
23.1 155.38
27.1 159.66
20.1 161.81
13.7 162.86
20.9 166.07
25.1 167.11
16.2 172.39
28.4 175.56
18.4 177.61
25.3 178.70
21.9 179.71
21.4 180.75
21.0 190.09
22.9 191.18
18.9 192.21
15.9 193.31
22.0 195.41
17.4 196.50
9.2 205.88
26.1 206.89
19.7 207.94
30.0 210.10
32.1 37.84
20.3 38.86
20.0 43.99
15.7 48.23
21.0 49.28
26.3 53.59
11.3 54.62
28.0 55.69
25.4 56.77
16.8 57.78
26.9 58.85
23.5 59.90
25.5 60.94
18.3 63.04
12.3 65.15
29.5 66.23
22.2 67.23
24.7 69.28
28.0 72.50
22.2 73.60
20.8 75.70
26.5 77.77
14.6 78.83
18.8 81.95
13.1 83.05
16.3 84.07
18.0 87.24
13.8 88.33
19.0 89.37
28.6 93.58
13.8 94.66
17.8 95.69
26.3 97.79
21.3 101.00
24.1 102.01
26.4 103.01
22.8 105.10
19.6 130.20
17.3 131.22
18.3 132.26
27.1 135.37
20.0 140.61
21.9 141.70
25.7 142.73
28.4 175.56
18.4 177.61
25.3 178.70
21.9 179.71
21.4 180.75
18.5 143.76
25.5 148.03
21.9 150.10
17.2 152.16
16.0 154.34
23.1 155.38
27.1 159.66
20.1 161.81
13.7 162.86
20.9 166.07
25.1 167.11
16.2 172.39
23.5 59.90
25.5 60.94
18.3 63.04
12.3 65.15
29.5 66.23
22.2 67.23
24.7 69.28
28.0 72.50
22.2 73.60
20.8 75.70
26.5 77.77
14.6 78.83
18.8 81.95
13.1 83.05
16.3 84.07
18.0 87.24
13.8 88.33
19.0 89.37
28.6 93.58
13.8 94.66
17.8 95.69
26.3 97.79
21.3 101.00
24.1 102.01
26.4 103.01
22.8 105.10
11.7 107.22
19.1 108.28
18.5 109.35
16.5 112.41
22.6 113.51
16.4 114.51
13.4 116.58
15.6 118.70
20.6 120.75
18.1 123.85
19.7 125.97
18.7 127.00
20.3 128.05
19.6 130.20
17.3 131.22
18.3 132.26
27.1 135.37
20.0 140.61
21.9 141.70
25.7 142.73
18.5 143.76
25.5 148.03
21.9 150.10
17.2 152.16
16.0 154.34
23.1 155.38
27.1 159.66
20.1 161.81
13.7 162.86
20.9 166.07
25.1 167.11
16.2 172.39
28.4 175.56
18.4 177.61
25.3 178.70
21.9 179.71
21.4 180.75
22.0 195.41
17.4 196.50
26.3 53.59
11.3 54.62
28.0 55.69
25.4 56.77
16.8 57.78
26.9 58.85
23.5 59.90
25.5 60.94
18.3 63.04
12.3 65.15
29.5 66.23
22.2 67.23
24.7 69.28
28.0 72.50
22.2 73.60
20.8 75.70
26.5 77.77
14.6 78.83
18.8 81.95
13.1 83.05
16.3 84.07
18.0 87.24
13.8 88.33
19.0 89.37
28.6 93.58
13.8 94.66
17.8 95.69
26.3 97.79
21.3 101.00
24.1 102.01
26.4 103.01
22.8 105.10
11.7 107.22
19.1 108.28
18.5 109.35
16.5 112.41
22.6 113.51
16.4 114.51
13.4 116.58
15.6 118.70
20.6 120.75
18.1 123.85
19.7 125.97
18.7 127.00
20.3 128.05
19.6 130.20
17.3 131.22
18.3 132.26
27.1 135.37
20.0 140.61
21.9 141.70
25.7 142.73
18.5 143.76
25.5 148.03
21.9 150.10
17.2 152.16
16.0 154.34
23.1 155.38
27.1 159.66
20.1 161.81
13.7 162.86
20.9 166.07
25.1 167.11
16.2 172.39
28.4 175.56
18.4 177.61
25.3 178.70
21.9 179.71
21.4 180.75
25.2 25.27
22.3 27.38
19.1 28.46
19.7 30.51
16.7 36.84
32.1 37.84
20.3 38.86
20.0 43.99
15.7 48.23
21.0 49.28
21.0 190.09
22.9 191.18
18.9 192.21
15.9 193.31
22.0 195.41
17.4 196.50
9.2 205.88
26.1 206.89
19.7 207.94
30.0 210.10
12.3 1.10
19.8 2.19
17.0 7.41
16.8 10.56
22.1 12.70
14.8 13.75
22.4 14.76
19.3 16.80
24.1 17.87
23.1 19.96
19.5 22.12
14.0 24.21
28.0 72.50
22.2 73.60
20.8 75.70
26.5 77.77
14.6 78.83
18.8 81.95
13.1 83.05
16.3 84.07
18.0 87.24
13.8 88.33
19.0 89.37
28.6 93.58
17.2 152.16
16.0 154.34
23.1 155.38
27.1 159.66
20.1 161.81
13.7 162.86
20.9 166.07
25.1 167.11
16.2 172.39
28.4 175.56
18.4 177.61
25.3 178.70
21.9 179.71
21.4 180.75
21.0 190.09
22.9 191.18
18.9 192.21
15.9 193.31
22.0 195.41
17.4 196.50
9.2 205.88
26.1 206.89
19.7 207.94
