Reading parameters:
	 rhs_function=2
	 nx=161
	 ny=161
	 foutput=1000
	 nstep_max=100000
	 tolerance=1e-08
Step 2, Diff=0.0138015
Step 3, Diff=0.0138015
Step 4, Diff=0.0138015
Step 5, Diff=0.0138015
Step 6, Diff=0.0138015
Step 7, Diff=0.0138015
Step 8, Diff=0.0138015
Step 9, Diff=0.0138015
Step 10, Diff=0.0138015
Step 11, Diff=0.0138015
Step 12, Diff=0.0138015
Step 13, Diff=0.0138015
Step 14, Diff=0.0138015
Step 15, Diff=0.0138015
Step 16, Diff=0.0138015
Step 17, Diff=0.0138015
Step 18, Diff=0.0138015
Step 19, Diff=0.0138015
Step 20, Diff=0.0138015
Step 21, Diff=0.0138015
Step 22, Diff=0.0138015
Step 23, Diff=0.0138015
Step 24, Diff=0.0138015
Step 25, Diff=0.0138015
Step 26, Diff=0.0138015
Step 27, Diff=0.0138015
Step 28, Diff=0.0138015
Step 29, Diff=0.0138015
Step 30, Diff=0.0138015
Step 31, Diff=0.0138015
Step 32, Diff=0.0138015
Step 33, Diff=0.0138015
Step 34, Diff=0.0138015
Step 35, Diff=0.0138015
Step 36, Diff=0.0138015
Step 37, Diff=0.0138015
Step 38, Diff=0.0138015
Step 39, Diff=0.0138015
Step 40, Diff=0.0138015
Step 41, Diff=0.0138015
Step 42, Diff=0.0138015
Step 43, Diff=0.0138015
Step 44, Diff=0.0138015
Step 45, Diff=0.0138015
Step 46, Diff=0.0138015
Step 47, Diff=0.0138015
Step 48, Diff=0.0138015
Step 49, Diff=0.0138015
Step 50, Diff=0.0138015
Step 51, Diff=0.0138015
Step 52, Diff=0.0138015
Step 53, Diff=0.0138015
Step 54, Diff=0.0138015
Step 55, Diff=0.0138015
Step 56, Diff=0.0138015
Step 57, Diff=0.0138015
Step 58, Diff=0.0138015
Step 59, Diff=0.0138015
Step 60, Diff=0.0138015
Step 61, Diff=0.0138015
Step 62, Diff=0.0138015
Step 63, Diff=0.0138015
Step 64, Diff=0.0138015
Step 65, Diff=0.0138015
Step 66, Diff=0.0138015
Step 67, Diff=0.0138015
Step 68, Diff=0.0138015
Step 69, Diff=0.0138015
Step 70, Diff=0.0138015
Step 71, Diff=0.0138015
Step 72, Diff=0.0138015
Step 73, Diff=0.0138015
Step 74, Diff=0.0138015
Step 75, Diff=0.0138015
Step 76, Diff=0.0138015
Step 77, Diff=0.0138015
Step 78, Diff=0.0138015
Step 79, Diff=0.0138015
Step 80, Diff=0.0138015
Step 81, Diff=0.0138015
Step 82, Diff=0.0138015
Step 83, Diff=0.0138015
Step 84, Diff=0.0138015
Step 85, Diff=0.0138015
Step 86, Diff=0.0138015
Step 87, Diff=0.0138015
Step 88, Diff=0.0138015
Step 89, Diff=0.0138015
Step 90, Diff=0.0138015
Step 91, Diff=0.0138015
Step 92, Diff=0.0138015
Step 93, Diff=0.0138015
Step 94, Diff=0.0138015
Step 95, Diff=0.0138015
Step 96, Diff=0.0138015
Step 97, Diff=0.0138015
Step 98, Diff=0.0138015
Step 99, Diff=0.0138015
Step 100, Diff=0.0138015
Step 101, Diff=0.0138015
Step 102, Diff=0.0138015
Step 103, Diff=0.0138015
Step 104, Diff=0.0138015
Step 105, Diff=0.0138015
Step 106, Diff=0.0138015
Step 107, Diff=0.0138015
Step 108, Diff=0.0138015
Step 109, Diff=0.0138015
Step 110, Diff=0.0138015
Step 111, Diff=0.0138015
Step 112, Diff=0.0138015
Step 113, Diff=0.0138015
Step 114, Diff=0.0138015
Step 115, Diff=0.0138015
Step 116, Diff=0.0138015
Step 117, Diff=0.0138015
Step 118, Diff=0.0138015
Step 119, Diff=0.0138015
Step 120, Diff=0.0138015
Step 121, Diff=0.0138015
Step 122, Diff=0.0138015
Step 123, Diff=0.0138015
Step 124, Diff=0.0138015
Step 125, Diff=0.0138015
Step 126, Diff=0.0138015
Step 127, Diff=0.0138015
Step 128, Diff=0.0138015
Step 129, Diff=0.0138015
Step 130, Diff=0.0138015
Step 131, Diff=0.0138015
Step 132, Diff=0.0138015
Step 133, Diff=0.0138015
Step 134, Diff=0.0138015
Step 135, Diff=0.0138015
Step 136, Diff=0.0138015
Step 137, Diff=0.0138015
Step 138, Diff=0.0138015
Step 139, Diff=0.0138015
Step 140, Diff=0.0138015
Step 141, Diff=0.0138015
Step 142, Diff=0.0138015
Step 143, Diff=0.0138015
Step 144, Diff=0.0138015
Step 145, Diff=0.0138015
Step 146, Diff=0.0138015
Step 147, Diff=0.0138015
Step 148, Diff=0.0138015
Step 149, Diff=0.0138015
Step 150, Diff=0.0138015
Step 151, Diff=0.0138015
Step 152, Diff=0.0138015
Step 153, Diff=0.0138015
Step 154, Diff=0.0138015
Step 155, Diff=0.0138015
Step 156, Diff=0.0138015
Step 157, Diff=0.0138015
Step 158, Diff=0.0138015
Step 159, Diff=0.0138015
Step 160, Diff=0.0138015
Step 161, Diff=0.0138015
Step 162, Diff=0.0138015
Step 163, Diff=0.0138015
Step 164, Diff=0.0138015
Step 165, Diff=0.0138015
Step 166, Diff=0.0138015
Step 167, Diff=0.0138015
Step 168, Diff=0.0138015
Step 169, Diff=0.0138015
Step 170, Diff=0.0138015
Step 171, Diff=0.0138015
Step 172, Diff=0.0138015
Step 173, Diff=0.0138015
Step 174, Diff=0.0138015
Step 175, Diff=0.0138015
Step 176, Diff=0.0138015
Step 177, Diff=0.0138015
Step 178, Diff=0.0138015
Step 179, Diff=0.0138015
Step 180, Diff=0.0138015
Step 181, Diff=0.0138015
Step 182, Diff=0.0138015
Step 183, Diff=0.0138015
Step 184, Diff=0.0138015
Step 185, Diff=0.0138015
Step 186, Diff=0.0138015
Step 187, Diff=0.0138015
Step 188, Diff=0.0138015
Step 189, Diff=0.0138015
Step 190, Diff=0.0138015
Step 191, Diff=0.0138015
Step 192, Diff=0.0138015
Step 193, Diff=0.0138015
Step 194, Diff=0.0138015
Step 195, Diff=0.0138015
Step 196, Diff=0.0138015
Step 197, Diff=0.0138015
Step 198, Diff=0.0138015
Step 199, Diff=0.0138015
Step 200, Diff=0.0138015
Step 201, Diff=0.0138015
Step 202, Diff=0.0138015
Step 203, Diff=0.0138015
Step 204, Diff=0.0138015
Step 205, Diff=0.0138015
Step 206, Diff=0.0138015
Step 207, Diff=0.0138015
Step 208, Diff=0.0138015
Step 209, Diff=0.0138015
Step 210, Diff=0.0138015
Step 211, Diff=0.0138015
Step 212, Diff=0.0138015
Step 213, Diff=0.0138015
Step 214, Diff=0.0138015
Step 215, Diff=0.0138015
Step 216, Diff=0.0138015
Step 217, Diff=0.0138015
Step 218, Diff=0.0138015
Step 219, Diff=0.0138015
Step 220, Diff=0.0138015
Step 221, Diff=0.0138015
Step 222, Diff=0.0138015
Step 223, Diff=0.0138015
Step 224, Diff=0.0138015
Step 225, Diff=0.0138015
Step 226, Diff=0.0138015
Step 227, Diff=0.0138015
Step 228, Diff=0.0138015
Step 229, Diff=0.0138015
Step 230, Diff=0.0138015
Step 231, Diff=0.0138015
Step 232, Diff=0.0138015
Step 233, Diff=0.0138015
Step 234, Diff=0.0138015
Step 235, Diff=0.0138015
Step 236, Diff=0.0138015
Step 237, Diff=0.0138015
Step 238, Diff=0.0138015
Step 239, Diff=0.0138015
Step 240, Diff=0.0138015
Step 241, Diff=0.0138015
Step 242, Diff=0.0138015
Step 243, Diff=0.0138015
Step 244, Diff=0.0138015
Step 245, Diff=0.0138015
Step 246, Diff=0.0138015
Step 247, Diff=0.0138015
Step 248, Diff=0.0138015
Step 249, Diff=0.0138015
Step 250, Diff=0.0138015
Step 251, Diff=0.0138015
Step 252, Diff=0.0138015
Step 253, Diff=0.0138015
Step 254, Diff=0.0138015
Step 255, Diff=0.0138015
Step 256, Diff=0.0138015
Step 257, Diff=0.0138015
Step 258, Diff=0.0138015
Step 259, Diff=0.0138015
Step 260, Diff=0.0138015
Step 261, Diff=0.0138015
Step 262, Diff=0.0138015
Step 263, Diff=0.0138015
Step 264, Diff=0.0138015
Step 265, Diff=0.0138015
Step 266, Diff=0.0138015
Step 267, Diff=0.0138015
Step 268, Diff=0.0138015
Step 269, Diff=0.0138015
Step 270, Diff=0.0138015
Step 271, Diff=0.0138015
Step 272, Diff=0.0138015
Step 273, Diff=0.0138015
Step 274, Diff=0.0138015
Step 275, Diff=0.0138015
Step 276, Diff=0.0138015
Step 277, Diff=0.0138015
Step 278, Diff=0.0138015
Step 279, Diff=0.0138015
Step 280, Diff=0.0138015
Step 281, Diff=0.0138015
Step 282, Diff=0.0138015
Step 283, Diff=0.0138015
Step 284, Diff=0.0138015
Step 285, Diff=0.0138015
Step 286, Diff=0.0138015
Step 287, Diff=0.0138015
Step 288, Diff=0.0138015
Step 289, Diff=0.0138015
Step 290, Diff=0.0138015
Step 291, Diff=0.0138015
Step 292, Diff=0.0138015
Step 293, Diff=0.0138015
Step 294, Diff=0.0138015
Step 295, Diff=0.0138015
Step 296, Diff=0.0138015
Step 297, Diff=0.0138015
Step 298, Diff=0.0138015
Step 299, Diff=0.0138015
Step 300, Diff=0.0138015
Step 301, Diff=0.0138015
Step 302, Diff=0.0138015
Step 303, Diff=0.0138015
Step 304, Diff=0.0138015
Step 305, Diff=0.0138015
Step 306, Diff=0.0138015
Step 307, Diff=0.0138015
Step 308, Diff=0.0138015
Step 309, Diff=0.0138015
Step 310, Diff=0.0138015
Step 311, Diff=0.0138015
Step 312, Diff=0.0138015
Step 313, Diff=0.0138015
Step 314, Diff=0.0138015
Step 315, Diff=0.0138015
Step 316, Diff=0.0138015
Step 317, Diff=0.0138015
Step 318, Diff=0.0138015
Step 319, Diff=0.0138015
Step 320, Diff=0.0138015
Step 321, Diff=0.0138015
Step 322, Diff=0.0138015
Step 323, Diff=0.0138015
Step 324, Diff=0.0138015
Step 325, Diff=0.0138015
Step 326, Diff=0.0138015
Step 327, Diff=0.0138015
Step 328, Diff=0.0138015
Step 329, Diff=0.0138015
Step 330, Diff=0.0138015
Step 331, Diff=0.0138015
Step 332, Diff=0.0138015
Step 333, Diff=0.0138015
Step 334, Diff=0.0138015
Step 335, Diff=0.0138015
Step 336, Diff=0.0138015
Step 337, Diff=0.0138015
Step 338, Diff=0.0138015
Step 339, Diff=0.0138015
Step 340, Diff=0.0138015
Step 341, Diff=0.0138015
Step 342, Diff=0.0138015
Step 343, Diff=0.0138015
Step 344, Diff=0.0138015
Step 345, Diff=0.0138015
Step 346, Diff=0.0138015
Step 347, Diff=0.0138015
Step 348, Diff=0.0138015
Step 349, Diff=0.0138015
Step 350, Diff=0.0138015
Step 351, Diff=0.0138015
Step 352, Diff=0.0138015
Step 353, Diff=0.0138015
Step 354, Diff=0.0138015
Step 355, Diff=0.0138015
Step 356, Diff=0.0138015
Step 357, Diff=0.0138015
Step 358, Diff=0.0138015
Step 359, Diff=0.0138015
Step 360, Diff=0.0138015
Step 361, Diff=0.0138015
Step 362, Diff=0.0138015
Step 363, Diff=0.0138015
Step 364, Diff=0.0138015
Step 365, Diff=0.0138015
Step 366, Diff=0.0138015
Step 367, Diff=0.0138015
Step 368, Diff=0.0138015
Step 369, Diff=0.0138015
Step 370, Diff=0.0138015
Step 371, Diff=0.0138015
Step 372, Diff=0.0138015
Step 373, Diff=0.0138015
Step 374, Diff=0.0138015
Step 375, Diff=0.0138015
Step 376, Diff=0.0138015
Step 377, Diff=0.0138015
Step 378, Diff=0.0138015
Step 379, Diff=0.0138015
Step 380, Diff=0.0138015
Step 381, Diff=0.0138015
Step 382, Diff=0.0138015
Step 383, Diff=0.0138015
Step 384, Diff=0.0138015
Step 385, Diff=0.0138015
Step 386, Diff=0.0138015
Step 387, Diff=0.0138015
Step 388, Diff=0.0138015
Step 389, Diff=0.0138015
Step 390, Diff=0.0138015
Step 391, Diff=0.0138015
Step 392, Diff=0.0138015
Step 393, Diff=0.0138015
Step 394, Diff=0.0138015
Step 395, Diff=0.0138015
Step 396, Diff=0.0138015
Step 397, Diff=0.0138015
Step 398, Diff=0.0138015
Step 399, Diff=0.0138015
Step 400, Diff=0.0138015
Step 401, Diff=0.0138015
Step 402, Diff=0.0138015
Step 403, Diff=0.0138015
Step 404, Diff=0.0138015
Step 405, Diff=0.0138015
Step 406, Diff=0.0138015
Step 407, Diff=0.0138015
Step 408, Diff=0.0138015
Step 409, Diff=0.0138015
Step 410, Diff=0.0138015
Step 411, Diff=0.0138015
Step 412, Diff=0.0138015
Step 413, Diff=0.0138015
Step 414, Diff=0.0138015
Step 415, Diff=0.0138015
Step 416, Diff=0.0138015
Step 417, Diff=0.0138015
Step 418, Diff=0.0138015
Step 419, Diff=0.0138015
Step 420, Diff=0.0138015
Step 421, Diff=0.0138015
Step 422, Diff=0.0138015
Step 423, Diff=0.0138015
Step 424, Diff=0.0138015
Step 425, Diff=0.0138015
Step 426, Diff=0.0138015
Step 427, Diff=0.0138015
Step 428, Diff=0.0138015
Step 429, Diff=0.0138015
Step 430, Diff=0.0138015
Step 431, Diff=0.0138015
Step 432, Diff=0.0138015
Step 433, Diff=0.0138015
Step 434, Diff=0.0138015
Step 435, Diff=0.0138015
Step 436, Diff=0.0138015
Step 437, Diff=0.0138015
Step 438, Diff=0.0138015
Step 439, Diff=0.0138015
Step 440, Diff=0.0138015
Step 441, Diff=0.0138015
Step 442, Diff=0.0138015
Step 443, Diff=0.0138015
Step 444, Diff=0.0138015
Step 445, Diff=0.0138015
Step 446, Diff=0.0138015
Step 447, Diff=0.0138015
Step 448, Diff=0.0138015
Step 449, Diff=0.0138015
Step 450, Diff=0.0138015
Step 451, Diff=0.0138015
Step 452, Diff=0.0138015
Step 453, Diff=0.0138015
Step 454, Diff=0.0138015
Step 455, Diff=0.0138015
Step 456, Diff=0.0138015
Step 457, Diff=0.0138015
Step 458, Diff=0.0138015
Step 459, Diff=0.0138015
Step 460, Diff=0.0138015
Step 461, Diff=0.0138015
Step 462, Diff=0.0138015
Step 463, Diff=0.0138015
Step 464, Diff=0.0138015
Step 465, Diff=0.0138015
Step 466, Diff=0.0138015
Step 467, Diff=0.0138015
Step 468, Diff=0.0138015
Step 469, Diff=0.0138015
Step 470, Diff=0.0138015
Step 471, Diff=0.0138015
Step 472, Diff=0.0138015
Step 473, Diff=0.0138015
Step 474, Diff=0.0138015
Step 475, Diff=0.0138015
Step 476, Diff=0.0138015
Step 477, Diff=0.0138015
Step 478, Diff=0.0138015
Step 479, Diff=0.0138015
Step 480, Diff=0.0138015
Step 481, Diff=0.0138015
Step 482, Diff=0.0138015
Step 483, Diff=0.0138015
Step 484, Diff=0.0138015
Step 485, Diff=0.0138015
Step 486, Diff=0.0138015
Step 487, Diff=0.0138015
Step 488, Diff=0.0138015
Step 489, Diff=0.0138015
Step 490, Diff=0.0138015
Step 491, Diff=0.0138015
Step 492, Diff=0.0138015
Step 493, Diff=0.0138015
Step 494, Diff=0.0138015
Step 495, Diff=0.0138015
Step 496, Diff=0.0138015
Step 497, Diff=0.0138015
Step 498, Diff=0.0138015
Step 499, Diff=0.0138015
Step 500, Diff=0.0138015
Step 501, Diff=0.0138015
Step 502, Diff=0.0138015
Step 503, Diff=0.0138015
Step 504, Diff=0.0138015
Step 505, Diff=0.0138015
Step 506, Diff=0.0138015
Step 507, Diff=0.0138015
Step 508, Diff=0.0138015
Step 509, Diff=0.0138015
Step 510, Diff=0.0138015
Step 511, Diff=0.0138015
Step 512, Diff=0.0138015
Step 513, Diff=0.0138015
Step 514, Diff=0.0138015
Step 515, Diff=0.0138015
Step 516, Diff=0.0138015
Step 517, Diff=0.0138015
Step 518, Diff=0.0138015
Step 519, Diff=0.0138015
Step 520, Diff=0.0138015
Step 521, Diff=0.0138015
Step 522, Diff=0.0138015
Step 523, Diff=0.0138015
Step 524, Diff=0.0138015
Step 525, Diff=0.0138015
Step 526, Diff=0.0138015
Step 527, Diff=0.0138015
Step 528, Diff=0.0138015
Step 529, Diff=0.0138015
Step 530, Diff=0.0138015
Step 531, Diff=0.0138015
Step 532, Diff=0.0138015
Step 533, Diff=0.0138015
Step 534, Diff=0.0138015
Step 535, Diff=0.0138015
Step 536, Diff=0.0138015
Step 537, Diff=0.0138015
Step 538, Diff=0.0138015
Step 539, Diff=0.0138015
Step 540, Diff=0.0138015
Step 541, Diff=0.0138015
Step 542, Diff=0.0138015
Step 543, Diff=0.0138015
Step 544, Diff=0.0138015
Step 545, Diff=0.0138015
Step 546, Diff=0.0138015
Step 547, Diff=0.0138015
Step 548, Diff=0.0138015
Step 549, Diff=0.0138015
Step 550, Diff=0.0138015
Step 551, Diff=0.0138015
Step 552, Diff=0.0138015
Step 553, Diff=0.0138015
Step 554, Diff=0.0138015
Step 555, Diff=0.0138015
Step 556, Diff=0.0138015
Step 557, Diff=0.0138015
Step 558, Diff=0.0138015
Step 559, Diff=0.0138015
Step 560, Diff=0.0138015
Step 561, Diff=0.0138015
Step 562, Diff=0.0138015
Step 563, Diff=0.0138015
Step 564, Diff=0.0138015
Step 565, Diff=0.0138015
Step 566, Diff=0.0138015
Step 567, Diff=0.0138015
Step 568, Diff=0.0138015
Step 569, Diff=0.0138015
Step 570, Diff=0.0138015
Step 571, Diff=0.0138015
Step 572, Diff=0.0138015
Step 573, Diff=0.0138015
Step 574, Diff=0.0138015
Step 575, Diff=0.0138015
Step 576, Diff=0.0138015
Step 577, Diff=0.0138015
Step 578, Diff=0.0138015
Step 579, Diff=0.0138015
Step 580, Diff=0.0138015
Step 581, Diff=0.0138015
Step 582, Diff=0.0138015
Step 583, Diff=0.0138015
Step 584, Diff=0.0138015
Step 585, Diff=0.0138015
Step 586, Diff=0.0138015
Step 587, Diff=0.0138015
Step 588, Diff=0.0138015
Step 589, Diff=0.0138015
Step 590, Diff=0.0138015
Step 591, Diff=0.0138015
Step 592, Diff=0.0138015
Step 593, Diff=0.0138015
Step 594, Diff=0.0138015
Step 595, Diff=0.0138015
Step 596, Diff=0.0138015
Step 597, Diff=0.0138015
Step 598, Diff=0.0138015
Step 599, Diff=0.0138015
Step 600, Diff=0.0138015
Step 601, Diff=0.0138015
Step 602, Diff=0.0138015
Step 603, Diff=0.0138015
Step 604, Diff=0.0138015
Step 605, Diff=0.0138015
Step 606, Diff=0.0138015
Step 607, Diff=0.0138015
Step 608, Diff=0.0138015
Step 609, Diff=0.0138015
Step 610, Diff=0.0138015
Step 611, Diff=0.0138015
Step 612, Diff=0.0138015
Step 613, Diff=0.0138015
Step 614, Diff=0.0138015
Step 615, Diff=0.0138015
Step 616, Diff=0.0138015
Step 617, Diff=0.0138015
Step 618, Diff=0.0138015
Step 619, Diff=0.0138015
Step 620, Diff=0.0138015
Step 621, Diff=0.0138015
Step 622, Diff=0.0138015
Step 623, Diff=0.0138015
Step 624, Diff=0.0138015
Step 625, Diff=0.0138015
Step 626, Diff=0.0138015
Step 627, Diff=0.0138015
Step 628, Diff=0.0138015
Step 629, Diff=0.0138015
Step 630, Diff=0.0138015
Step 631, Diff=0.0138015
Step 632, Diff=0.0138015
Step 633, Diff=0.0138015
Step 634, Diff=0.0138015
Step 635, Diff=0.0138015
Step 636, Diff=0.0138015
Step 637, Diff=0.0138015
Step 638, Diff=0.0138015
