Reading parameters:
	 rhs_function=2
	 nx=161
	 ny=161
	 foutput=1000
	 nstep_max=100000
	 tolerance=1e-08
Step 2, Diff=0.00767613
Step 3, Diff=0.00554968
Step 4, Diff=0.00442688
Step 5, Diff=0.00372063
Step 6, Diff=0.00323042
Step 7, Diff=0.0028678
Step 8, Diff=0.00258734
Step 9, Diff=0.00236315
Step 10, Diff=0.0021793
Step 11, Diff=0.00202546
Step 12, Diff=0.0018946
Step 13, Diff=0.00178174
Step 14, Diff=0.00168327
Step 15, Diff=0.00159652
Step 16, Diff=0.00151943
Step 17, Diff=0.00145042
Step 18, Diff=0.00138822
Step 19, Diff=0.00133184
Step 20, Diff=0.00128048
Step 21, Diff=0.00123345
Step 22, Diff=0.00119022
Step 23, Diff=0.00115032
Step 24, Diff=0.00111337
Step 25, Diff=0.00107903
Step 26, Diff=0.00104704
Step 27, Diff=0.00101715
Step 28, Diff=0.000989145
Step 29, Diff=0.00096285
Step 30, Diff=0.000938107
Step 31, Diff=0.000914775
Step 32, Diff=0.000892733
Step 33, Diff=0.000871872
Step 34, Diff=0.000852097
Step 35, Diff=0.000833319
Step 36, Diff=0.000815464
Step 37, Diff=0.000798462
Step 38, Diff=0.00078225
Step 39, Diff=0.000766772
Step 40, Diff=0.000751978
Step 41, Diff=0.000737821
Step 42, Diff=0.00072426
Step 43, Diff=0.000711255
Step 44, Diff=0.000698772
Step 45, Diff=0.000686779
Step 46, Diff=0.000675246
Step 47, Diff=0.000664147
Step 48, Diff=0.000653455
Step 49, Diff=0.000643149
Step 50, Diff=0.000633206
Step 51, Diff=0.000623607
Step 52, Diff=0.000614334
Step 53, Diff=0.00060537
Step 54, Diff=0.000596699
Step 55, Diff=0.000588306
Step 56, Diff=0.000580177
Step 57, Diff=0.000572299
Step 58, Diff=0.000564662
Step 59, Diff=0.000557252
Step 60, Diff=0.000550061
Step 61, Diff=0.000543077
Step 62, Diff=0.000536292
Step 63, Diff=0.000529697
Step 64, Diff=0.000523284
Step 65, Diff=0.000517044
Step 66, Diff=0.000510972
Step 67, Diff=0.000505059
Step 68, Diff=0.000499299
Step 69, Diff=0.000493687
Step 70, Diff=0.000488216
Step 71, Diff=0.000482881
Step 72, Diff=0.000477677
Step 73, Diff=0.000472598
Step 74, Diff=0.00046764
Step 75, Diff=0.000462799
Step 76, Diff=0.00045807
Step 77, Diff=0.000453449
Step 78, Diff=0.000448933
Step 79, Diff=0.000444518
Step 80, Diff=0.000440199
Step 81, Diff=0.000435975
Step 82, Diff=0.000431842
Step 83, Diff=0.000427796
Step 84, Diff=0.000423835
Step 85, Diff=0.000419957
Step 86, Diff=0.000416158
Step 87, Diff=0.000412436
Step 88, Diff=0.000408788
Step 89, Diff=0.000405213
Step 90, Diff=0.000401708
Step 91, Diff=0.00039827
Step 92, Diff=0.000394899
Step 93, Diff=0.000391591
Step 94, Diff=0.000388345
Step 95, Diff=0.00038516
Step 96, Diff=0.000382033
Step 97, Diff=0.000378963
Step 98, Diff=0.000375948
Step 99, Diff=0.000372987
Step 100, Diff=0.000370078
Step 101, Diff=0.00036722
Step 102, Diff=0.000364411
Step 103, Diff=0.00036165
Step 104, Diff=0.000358936
Step 105, Diff=0.000356267
Step 106, Diff=0.000353643
Step 107, Diff=0.000351062
Step 108, Diff=0.000348524
Step 109, Diff=0.000346026
Step 110, Diff=0.000343568
Step 111, Diff=0.00034115
Step 112, Diff=0.000338769
Step 113, Diff=0.000336425
Step 114, Diff=0.000334118
Step 115, Diff=0.000331846
Step 116, Diff=0.000329609
Step 117, Diff=0.000327405
Step 118, Diff=0.000325234
Step 119, Diff=0.000323096
Step 120, Diff=0.000320989
Step 121, Diff=0.000318912
Step 122, Diff=0.000316866
Step 123, Diff=0.000314848
Step 124, Diff=0.00031286
Step 125, Diff=0.000310899
Step 126, Diff=0.000308966
Step 127, Diff=0.00030706
Step 128, Diff=0.00030518
Step 129, Diff=0.000303326
Step 130, Diff=0.000301497
Step 131, Diff=0.000299692
Step 132, Diff=0.000297912
Step 133, Diff=0.000296155
Step 134, Diff=0.000294421
Step 135, Diff=0.00029271
Step 136, Diff=0.000291021
Step 137, Diff=0.000289354
Step 138, Diff=0.000287708
Step 139, Diff=0.000286083
Step 140, Diff=0.000284478
Step 141, Diff=0.000282894
Step 142, Diff=0.000281329
Step 143, Diff=0.000279783
Step 144, Diff=0.000278257
Step 145, Diff=0.000276749
Step 146, Diff=0.000275259
Step 147, Diff=0.000273787
Step 148, Diff=0.000272332
Step 149, Diff=0.000270895
Step 150, Diff=0.000269475
Step 151, Diff=0.000268071
Step 152, Diff=0.000266683
Step 153, Diff=0.000265312
Step 154, Diff=0.000263956
Step 155, Diff=0.000262615
Step 156, Diff=0.00026129
Step 157, Diff=0.00025998
Step 158, Diff=0.000258684
Step 159, Diff=0.000257402
Step 160, Diff=0.000256135
Step 161, Diff=0.000254882
Step 162, Diff=0.000253642
Step 163, Diff=0.000252416
Step 164, Diff=0.000251202
Step 165, Diff=0.000250002
Step 166, Diff=0.000248815
Step 167, Diff=0.00024764
Step 168, Diff=0.000246477
Step 169, Diff=0.000245327
Step 170, Diff=0.000244188
Step 171, Diff=0.000243061
Step 172, Diff=0.000241946
Step 173, Diff=0.000240842
Step 174, Diff=0.000239749
Step 175, Diff=0.000238667
Step 176, Diff=0.000237597
Step 177, Diff=0.000236536
Step 178, Diff=0.000235487
Step 179, Diff=0.000234447
Step 180, Diff=0.000233418
Step 181, Diff=0.000232399
Step 182, Diff=0.00023139
Step 183, Diff=0.00023039
Step 184, Diff=0.0002294
Step 185, Diff=0.000228419
Step 186, Diff=0.000227448
Step 187, Diff=0.000226486
Step 188, Diff=0.000225533
Step 189, Diff=0.000224589
Step 190, Diff=0.000223653
Step 191, Diff=0.000222726
Step 192, Diff=0.000221808
Step 193, Diff=0.000220898
Step 194, Diff=0.000219996
Step 195, Diff=0.000219103
Step 196, Diff=0.000218218
Step 197, Diff=0.00021734
Step 198, Diff=0.00021647
Step 199, Diff=0.000215608
Step 200, Diff=0.000214754
Step 201, Diff=0.000213907
Step 202, Diff=0.000213067
Step 203, Diff=0.000212235
Step 204, Diff=0.00021141
Step 205, Diff=0.000210592
Step 206, Diff=0.000209781
Step 207, Diff=0.000208977
Step 208, Diff=0.00020818
Step 209, Diff=0.00020739
Step 210, Diff=0.000206606
Step 211, Diff=0.000205828
Step 212, Diff=0.000205058
Step 213, Diff=0.000204293
Step 214, Diff=0.000203535
Step 215, Diff=0.000202783
Step 216, Diff=0.000202037
Step 217, Diff=0.000201298
Step 218, Diff=0.000200564
Step 219, Diff=0.000199836
Step 220, Diff=0.000199114
Step 221, Diff=0.000198398
Step 222, Diff=0.000197687
Step 223, Diff=0.000196982
Step 224, Diff=0.000196283
Step 225, Diff=0.000195589
Step 226, Diff=0.0001949
Step 227, Diff=0.000194217
Step 228, Diff=0.000193539
Step 229, Diff=0.000192867
Step 230, Diff=0.000192199
Step 231, Diff=0.000191537
Step 232, Diff=0.000190879
Step 233, Diff=0.000190227
Step 234, Diff=0.00018958
Step 235, Diff=0.000188937
Step 236, Diff=0.000188299
Step 237, Diff=0.000187666
Step 238, Diff=0.000187038
Step 239, Diff=0.000186414
Step 240, Diff=0.000185795
Step 241, Diff=0.00018518
Step 242, Diff=0.00018457
Step 243, Diff=0.000183965
