"status_id","created_at","user_id","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x1864367186",2009-05-20 22:29:47,"x25073877","realDonaldTrump","Read a great interview with Donald Trump that appeared in The New York Times Magazine: http://tinyurl.com/qsx4o6","Twitter Web Client",112,,,,FALSE,FALSE,11,11,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x9273573134835712",2010-11-29 15:52:46,"x25073877","realDonaldTrump","Congratulations to Evan Lysacek for being nominated SI sportsman of the year. He's a great guy, and he has my vote!  #EvanForSI","Twitter Web Client",127,,,,FALSE,FALSE,7,32,"EvanForSI",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x29014512646",2010-10-28 18:53:40,"x25073877","realDonaldTrump","I was on The View this morning. We talked about The Apprentice. Tonight's episode is a great one--tough, exciting and surprising. 10 pm/NBC","Twitter Web Client",139,,,,FALSE,FALSE,6,36,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x7483813542232064",2010-11-24 17:20:54,"x25073877","realDonaldTrump","Tomorrow night's episode of The Apprentice delivers excitement at QVC along with appearances by Isaac Mizrahi and Cathie Black. 10 pm on NBC","Twitter Web Client",140,,,,FALSE,FALSE,17,37,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x5775731054",2009-11-16 21:06:10,"x25073877","realDonaldTrump","Donald Trump Partners with TV1 on New Reality Series Entitled, Omarosa's Ultimate Merger: http://tinyurl.com/yk5m3lc","Twitter Web Client",116,,,,FALSE,FALSE,3,6,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x14785576859340800",2010-12-14 20:55:30,"x25073877","realDonaldTrump","I'll be appearing on Larry King Live for his final show, Thursday night at 9 p.m., CNN. Larry's been on TV for 25 years...","Twitter Web Client",122,,,,FALSE,FALSE,40,251,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x22742724001",2010-09-01 21:38:38,"x25073877","realDonaldTrump","I'll be on The Late Show with David Letterman tonight--be sure to tune in for a great show. 11:30 pm on CBS.","Twitter Web Client",108,,,,FALSE,FALSE,6,46,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x3450626731",2009-08-21 14:32:45,"x25073877","realDonaldTrump","Watch the Miss Universe competition LIVE from the Bahamas - Sunday, 8/23 @ 9pm (ET) on NBC: http://tinyurl.com/mrzad9","Twitter Web Client",117,,,,FALSE,FALSE,5,7,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x4862580190",2009-10-14 14:13:17,"x25073877","realDonaldTrump","Watch video of Ivanka Trump sharing business advice with 4 entrepreneurial women on GMA: http://tinyurl.com/yk6hlfo","Twitter Web Client",115,,,,FALSE,FALSE,10,8,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x29674109995",2010-11-04 15:00:52,"x25073877","realDonaldTrump","Tonight's episode of The Apprentice is one you won't want to miss! Be sure to tune in--10 p.m. on NBC.","Twitter Web Client",102,,,,FALSE,FALSE,16,38,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x1849558306",2009-05-19 17:43:39,"x25073877","realDonaldTrump","""...these days...we could all use a little of the power of Trumpative thinking."" –BarnesandNoble.com http://tinyurl.com/pqpfvm","Twitter Web Client",126,,,,FALSE,FALSE,14,16,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
