"x663329371244118016",2015-11-08 12:17:00,"x25073877","realDonaldTrump","""@PearlsPolkaDots: @realDonaldTrump Loved the show! Best #SNL in years! #TrumpTrainSNL""","Twitter for Android",87,,,,FALSE,FALSE,1168,445,"SNL TrumpTrainSNL",,,,,,,,,,,,,"x2967894177 25073877","PearlsPolkaDots realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x662567885051699200",2015-11-06 09:51:08,"x25073877","realDonaldTrump","""@reganharycki: @realDonaldTrump it's about time we find a republican that can take on the democrats! https://t.co/lfI1rUjWRV""","Twitter for Android",126,,,,FALSE,FALSE,1207,719,,,"pic.twitter.com/lfI1rUjWRV","https://t.co/lfI1rUjWRV","https://twitter.com/reganharycki/status/662566005240152064/photo/1",,,,,,,,,"x292103080 25073877","reganharycki realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x663329293754351616",2015-11-08 12:16:42,"x25073877","realDonaldTrump","Will be on @foxandfriends at 8:00 A.M.","Twitter for Android",38,,,,FALSE,FALSE,1210,445,,,,,,,,,,,,,,"x15513604","foxandfriends","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x663361769235218432",2015-11-08 14:25:45,"x25073877","realDonaldTrump","""@CleopattraUSA: @realDonaldTrump @nbcsnl You've got it going on!!! Nothing is boring or low energy about you. #EverybodyRockW/TrumpNow #SNL","Twitter for Android",140,,,,FALSE,FALSE,1737,679,"EverybodyRockW SNL",,,,,,,,,,,,,"x415228744 25073877 28221296","CleopattraUSA realDonaldTrump nbcsnl","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x662714441121726465",2015-11-06 19:33:30,"x25073877","realDonaldTrump","Happy Birthday to the great @BillyGraham. He's done so many wonderful things, not the least of which is his fantastic family. I love Billy!","Twitter Web Client",139,,,,FALSE,FALSE,3156,1361,,,,,,,,,,,,,,"x16570573","BillyGraham","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x663499098780213249",2015-11-08 23:31:27,"x25073877","realDonaldTrump","""@TradingStreetCo:Donald Trump Is Ratings ‘Gold’ For SNL: Donald Trump Is Ratings ‘Gold’ For SNL... https://t.co/leEPs9OoAe  @FoxNews  @CNN","Twitter for Android",139,,,,FALSE,FALSE,1997,776,,,"bit.ly/1WKnbsy","https://t.co/leEPs9OoAe","http://bit.ly/1WKnbsy",,,,,,,,,"x2429441562 1367531 759251","TradingStreetCo FoxNews CNN","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x662693350135472128",2015-11-06 18:09:41,"x25073877","realDonaldTrump","""@bob_forbes2: DonaldTrump has built a lifetime reputation of doing what he says he will do. He keeps his promises. https://t.co/VBFuJOWIMa","Twitter for Android",139,,,,FALSE,FALSE,1726,974,,,"twitter.com/DonaldJTrump01…","https://t.co/VBFuJOWIMa","https://twitter.com/DonaldJTrump016/status/662690234459557888",,,,,,,,,"x3507630725","bob_forbes2","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x662693619430723584",2015-11-06 18:10:45,"x25073877","realDonaldTrump","""@swargcoming:  @AnnCoulter @rushlimbaugh @greta @OANN @FoxNews IS CARSON HALLUCINATING? NOW LIES ABOUT WESTPOINT? https://t.co/lvv0MRfgtH""","Twitter for Android",139,,,,FALSE,FALSE,1574,978,,,"politico.com/story/2015/11/…","https://t.co/lvv0MRfgtH","http://www.politico.com/story/2015/11/ben-carson-west-point-215598",,,,,,,,,"x2786494571 196168350 342887079 16031927 1209936918 1367531","swargcoming AnnCoulter rushlimbaugh greta OANN FoxNews","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x663078738511441920",2015-11-07 19:41:05,"x25073877","realDonaldTrump","""@BornToBeGOP: @realDonaldTrump You want them here legally and they want to be here legally!""","Twitter for Android",93,,,,FALSE,FALSE,1480,643,,,,,,,,,,,,,,"x3895471456 25073877","BornToBeGOP realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x663349846095564800",2015-11-08 13:38:22,"x25073877","realDonaldTrump","""@HillsGypsydad05:  @foxandfriends Awesome time on Saturday Night Live Mr. Trump! Thanks for being YOU! #MakeAmericaGreatAgain""  Thank you!","Twitter for Android",139,,,,FALSE,FALSE,1713,618,"MakeAmericaGreatAgain",,,,,,,,,,,,,"x3112921561 15513604","HillsGypsydad05 foxandfriends","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
